ENVST-UA,Environmental Studies
HSED-GE,History of Education
HSED-UE,History of Education
FYSEM-UA,First-Year Seminars
ENGR-UH,Engineering
DM-GY,Integrated Digital Media
MPADT-GE,Drama Therapy
GMTW-UT,Musical Theatre
FWS-UF,Fieldwork Seminar
BIOMS-DN,Biomaterials
PADM-GP,Public and Nonprofit Management and Policy
ASL-UE,American Sign Language
MPADE-UE,Dance Education
INTG1-GC,Integrated Marketing
MPAGC-UE,Departmental Courses
ENGR-GH,Engineering
PHDC-GB,PHD Consortium
ENGL-SHU,English
HUMN-SHU,Humanities
FMTV-UT,Undergrad Film & TV
INDIV-GG,Individualized Projects
ICINE-UT,"Int`l Pgms, Cinema Studies"
MSWEL-GS,Electives
IDIS-SHU,Interdisciplinary Studies
ARTH-UA,Art History
CBE-UY,Chemical & Biological Engineering
GESP-UG,GESP
NCRD-GT,Non-Credit TSOA Courses
ISAW-GA,Inst Study of the Ancient Wrld
CUSP-GX,Ctr for Urban Sci and Progress
URBAN-UH,Urbanization
LIVN-UF,Living in the Anthropocene
CCOL-UH,Core: Colloquium
BMS-UY,Biomolecular Science
CAP-GP,Capstone course
SCNC1-UC,Science
TR-GY,Transportation
LITC-UE,Literacy Education
MCC-SHU,"Media, Culture, & Communication"
APSY-NE,Quest
GPH-GU,Global Public Health
WRI-UF,Writing I
EXPOS-UA,Expository Writing
ECON-SHU,Economics
XBA1-GB,MS in Business Analytics
CHINL-UH,Chinese Language
ASPP-UT,"Ctr for Art, Society & Pub Pol"
ARTCR-UE,Art Theory & Critical Studies
EXEC-GP,Executive MPA course
WRIT-UH,Writing
PHP-UY,Prehealth Prep
CORE-GG,Core
MAINT-GC,Maintenance
CHDED-GE,Childhood Education
MKAN1-UC,Marketing Analytics
MAINT-GN,Maintenance
RELS-SHU,Religious Studies
BAS01-DN,Basic Sciences
HBRJD-GA,Hebrew and Judaic Studies
DANC-GT,Dance
MAINT-UN,Maintenance
BUSF-SHU,Business and Finance
INTGS-UF,Introduction to Global Studies
SOC-UA,Sociology
MPASS-GE,Music Instrumental: Strings
ARTT-UE,Art Therapy
EDCT-UE,Educational Communication and Technology
TRAVL-GG,Travel Courses
ITAL-UA,Italian
EL-GY,Elect. Engineering - EL GRAD
MAINT-GY,Maintenance
PHTI-GT,Photography and Imaging
PARAL-DC,Paralegal
TCHL-GE,Teaching & Learning
AMST-GA,American Studies
DGS10-DN,Diagnostic Sciences
MEDI-UA,Medieval & Renaissance Studies
SOED-UE,Sociology of Education
MCOM-GB,Management Communication
REAL1-GC,Real Estate Masters/GC
RELG1-UC,Religion
MD-UY,Media Studies
ANTH1-UC,Anthropology
CWRG1-UC,Creative Writing
RESCH-GE,Interdepartmental Research Studies
VISAR-UH,Visual Arts
GWS-UF,Global Writing Seminar
PCL11-DN,Preclinical Skills
DGSCI-CD,Diagnostic Sciences
MCC-UH,"Media, Culture and Communication"
ACCT-UB,Accounting
BTE-GY,Biotechnology & Entrepreneurship
ECON-GA,Economics
WRII-UF,Writing II
HEAL1-UC,Healthcare Management
PHYS-UA,Physics
EJST-GE,Education & Jewish Studies
CWGV-UF,Creative Writing: Global Voice
LITC-GE,Literacy Education
CWP-UF,Creative Writing
DGCM1-UC,Digital Communications & Media
CHIN-SHU,Chinese Language
DSWSW-GS,Doctor of Social Welfare
ECON-UH,Economics
ENYC-GE,Environmental Conservation Education
MPAPE-UE,Music Instrumental: Piano
PHYS-GA,Physics
UPADM-GP,UG Public and Nonprofit Management and Policy
NUTR-UE,Nutrition & Dietetics
IOART-UT,TSOA International Topics Pgm
AH-UH,Arts and Humanities
IMPLA-CD,Implant Dentistry
SFII-UF,Social Foundations II
MSPM1-GC,MS in Project Management
PHIL-SHU,Philosophy
AHSEM-UA,Advanced Honors Seminars
IPHTI-UT,"Int`l Pgms, Photography"
ESL-NI,English as a Second Language
FMTV-NT,Future Filmmakers Workshop
NEURL-UA,Neural Science
CLS03-DN,Clinical Sciences
DBIN-GB,Global Trip
OART-UT,Open Arts Curriculum
DESL1-GC,American Language Institute
DHYG1-UD,Dental Hygiene Level 1
AFGC-UF,African Cultures- Global Cultures
MSWFD-GS,Fieldlearning
SCTEC-UF,Science of Technology
CONS,Consortium Courses
MATH1-UC,Math
MATH-GA,Mathematics
POET-GA,Poetics and Theory
THEA-UT,Drama
AGT-UF,Advanced Global Topics
HRCM1-GC,MS in Human Resources
PHIL-UA,Philosophy
MATH-UA,Math
SAHS-GE,Student Affairs Honors & Seminars
AENR1-UC,Academic Enrichment
GERM-GA,German
ASH-GE,"Applied Statistics, Social Science, and Humanities"
CSCI-GA,Computer Science
MAINT-UG,Maintenance
PSYCN-UH,Psychology – Non-Majors
MPAGC-GE,Departmental Courses
IDWPG-UT,"Int`l Pgms, Dramatic Writing"
ECE-UY,Elect. Engineering - ECE UGRD
LIT-SHU,Literature
MEGC-UF,Middle Eastern Cultures- Global Cultures
PH-GY,Physics
MPAET-GE,Educational Theatre
MPATE-GE,Music Technology
MAINT-UD,Maintenance
GLOB1-GC,Global Studies
GCOM1-GC,Graphic Communications
PUBPL-UA,Public Policy
HISTN-UH,History - AEP/ESP
CS-UY,Computer Science
